address,type,name,confidence,evidence
0x80011c90,function,RockMain,strong,"Startup calls here at 0x800680a0; contains recurring frame loop"
0x80011ce8,label,RockMain_FrameLoop,confirmed,"Back edge at 0x80011ee0; delay slot increments scratchpad counter"
0x80011f04,function,Rock_Init_80011f04,provisional,"Called before frame loop; subsystem details unresolved"
0x80012c80,function,RockScheduler_Tick,strong,"Scans four 128-byte records; resumes eligible BIOS threads"
0x80012e10,function,RockThread_Create,strong,"OpenTh with slot stack/GP; stores handle and status 2"
0x80012e98,function,RockThread_Sleep,strong,"Stores 16-bit countdown and status 1; ChangeTh(0xff000000)"
0x80012ecc,function,RockThread_Exit,strong,"Clears current status; CloseTh; ChangeTh(0xff000000)"
0x80012f78,function,RockThread_RequestReplacement,strong,"Publish entry GP+0x8f4 and flag GP+0x174 then ChangeTh(0xff000000)"
0x800131fc,function,RockInitialThread,strong,"Main creates slot zero with this entry; dispatches signed byte at 0x80098b1c"
0x8001326c,function,RockInitialPhase_Init,strong,"Table prefix index zero; increments state byte on return"
0x800133d8,function,RockInitialPhase_Replace,strong,"Clears three words and requests replacement with 0x80013420"
0x80013418,function,NullSub_80013418,confirmed,"jr ra; nop"
0x80013420,function,RockReplacementThread,strong,"Dispatch loop with state at 0x80098aa8 and table 0x80080950"
0x80013578,function,RockReplacementPhase0,strong,"Toggles byte at state+3 and requests replacement with 0x800155a4"
0x800155a4,function,RockThread_155a4,strong,"Clears state word; signed-byte table dispatch; counter and input calls; sleep(1)"
0x80015634,function,RockPhase_15634,strong,"Initial handler sets phase 1 and subphase 0"
0x80015734,function,RockPhase_15734,strong,"Handler sets phase 2 and subphase 1 and clears flags bit 0"
0x80016bc0,function,RockCounter_Tick,strong,"Unsigned increment then cap at 10799999; compiled differential tests pass"
0x80082114,data,Thread155a4_HandlerTablePrefix,strong,"Eleven observed function pointers; full table extent unproven"
0x800c1b10,data,Thread155a4_State,strong,"First word cleared on thread entry; first byte indexes handler table"
0x800c1b1c,data,g_Thread155a4Counter,strong,"Updated by 0x80016bc0 after each dispatch; meaning/rate unresolved"
0x80080894,data,InitialThread_HandlerTablePrefix,strong,"Three observed function pointers; full table extent unproven"
0x80080950,data,ReplacementThread_HandlerTablePrefix,strong,"Seven observed function pointers; full table extent unproven"
0x800979d8,data,g_ThreadReplacementPending,confirmed,"GP+0x174; producer sets one and scheduler consumes/clears"
0x80098158,data,g_ThreadReplacementEntry,confirmed,"GP+0x8f4; passed to OpenTh by scheduler; aliases zero-fill start label"
0x80098aa8,data,ReplacementThread_State,strong,"Three words cleared before handoff; signed first byte selects handler"
0x80098b1c,data,InitialThread_State,strong,"First two bytes cleared on entry; signed first byte selects handler"
0x8007ff10,function,bios_OpenTh,confirmed,"B0:0e standard thunk"
0x8007ff20,function,bios_CloseTh,confirmed,"B0:0f standard thunk"
0x8007ff30,function,bios_ChangeTh,confirmed,"B0:10 standard thunk"
0x8007ff70,function,bios_EnterCriticalSection,confirmed,"a0=1; syscall"
0x8007ff80,function,bios_ExitCriticalSection,confirmed,"a0=2; syscall"
0x801f8100,data,RockThread_Records,strong,"Four slots ending at 0x801f82ff; stride 0x80"
0x801f8300,data,g_CurrentThreadRecord,confirmed,"Scheduler advances pointer through slots; ends one past table"
0x80067ff8,function,NullSub_80067ff8,confirmed,"jr ra; nop; called by RockMain"
0x80068000,function,RockEntry,confirmed,"PS-X EXE header entry; explicit zero-fill and heap setup"
0x800680bc,function,RockState_Init,strong,"Bounded leaf through 0x8006811c; ten direct call candidates; RAM postcondition verified"
0x8007fe70,function,bios_InitHeap,confirmed,"A0:39 standard thunk"
0x8007fe80,function,bios_FlushCache,confirmed,"A0:44 standard thunk"
0x80090e0c,data,StartupHeapReserve,confirmed,"Word 0x8000 subtracted during heap-size calculation"
0x80097864,data,RockRuntimeGpBase,confirmed,"Startup sets gp to this address"
0x80098158,data,StartupZeroFillBegin,confirmed,"First zero-fill store address"
0x800c3560,data,RockState_ByteView,strong,"18-byte view covering initializer writes; full object extent unknown"
0x800c5688,data,StartupZeroFillEnd,confirmed,"Exclusive bound of startup zero-fill loop"
0x80015840,function,RockPhase_15840,provisional,"Phase-2 handler after 0x80015734; listing prefix only, extent unproven"
0x8001da58,function,RockFlags_Test,strong,"Complete leaf through 0x8001da8c; MSB-first bit query at 0x800be378"
0x8001da8c,function,RockFlags_Set,strong,"Listing through 0x8001dad0; OR of 0x80>>(id&7) into flags[id>>3]; compiled vs original pending local EXE run"
0x800be378,data,g_RockFlags,strong,"Bitset base for Test/Set; table capacity unresolved"
