address,type,name,confidence,evidence
0x800107e8,function,BootMain,strong,"Called once by startup at 0x800126cc; initializes systems and enters the frame loop"
0x80010818,label,BootMain_FrameLoop,strong,"Loop back-edge at 0x800108d0"
0x80012300,function,BootMode3_Update,confirmed,"Fourth entry in handler table at 0x8001df94; conventional prologue and return"
0x800124fc,label,BootMode3_LaunchMainExecutable,confirmed,"Phase 2 target; shutdown/reinit sequence ending in LoadExec"
0x800125e8,function,BootMode_Dispatch,confirmed,"Indexes table 0x8001df94 using byte at 0x80059c50 and calls selected handler"
0x80012624,function,NullSub_80012624,confirmed,"jr ra; nop"
0x8001262c,function,PsxEntry,confirmed,"PS-X EXE entry point from header"
0x8001a1fc,function,bios_puts,confirmed,"B0 BIOS thunk with t1=0x3f"
0x8001a214,function,bios_setjmp,confirmed,"A0 BIOS thunk with t1=0x13"
0x8001a224,function,bios_memcpy,confirmed,"A0 BIOS thunk with t1=0x2a"
0x8001a234,function,bios_printf,confirmed,"A0 BIOS thunk with t1=0x3f"
0x8001a244,function,bios_InitHeap,confirmed,"A0 BIOS thunk with t1=0x39"
0x8001a254,function,bios_GPU_cw,confirmed,"A0 BIOS thunk with t1=0x49"
0x8001a264,function,bios_LoadExec,confirmed,"A0 BIOS thunk with t1=0x51"
0x8001a274,function,bios__96_init,confirmed,"A0 BIOS thunk with t1=0x71"
0x8001a28c,function,bios__96_remove,confirmed,"A0 BIOS thunk with t1=0x72"
0x8001a2a4,function,bios_DeliverEvent,confirmed,"B0 BIOS thunk with t1=0x07"
0x8001a2b4,function,bios_ReturnFromException,confirmed,"B0 BIOS thunk with t1=0x17"
0x8001a2c4,function,bios_ResetEntryInt,confirmed,"B0 BIOS thunk with t1=0x18"
0x8001a2d4,function,bios_HookEntryInt,confirmed,"B0 BIOS thunk with t1=0x19"
0x8001a304,function,bios_ChangeClearPAD,confirmed,"B0 BIOS thunk with t1=0x5b"
0x8001a314,function,bios_ChangeClearRCnt,confirmed,"C0 BIOS thunk with t1=0x0a"
0x8001a644,function,bios_InitPAD2,confirmed,"B0 BIOS thunk with t1=0x12"
0x8001a654,function,bios_StartPAD2,confirmed,"B0 BIOS thunk with t1=0x13"
0x8001a664,function,bios_StopPAD2,confirmed,"B0 BIOS thunk with t1=0x14"
0x8001a674,function,bios_PAD_init2,confirmed,"B0 BIOS thunk with t1=0x15"
0x8001a684,function,bios_SysEnqIntRP,confirmed,"C0 BIOS thunk with t1=0x02"
0x8001a694,function,bios_SysDeqIntRP,confirmed,"C0 BIOS thunk with t1=0x03"
0x8001a734,function,bios_FlushCache,confirmed,"A0 BIOS thunk with t1=0x44"
0x8001aa28,function,bios_OpenEvent,confirmed,"B0 BIOS thunk with t1=0x08"
0x8001aa38,function,bios_EnableEvent,confirmed,"B0 BIOS thunk with t1=0x0c"
0x8001b784,function,bios_CloseEvent,confirmed,"B0 BIOS thunk with t1=0x09"
0x8001b794,function,bios_DisableEvent,confirmed,"B0 BIOS thunk with t1=0x0d"
0x8001df94,data,BootMode_HandlerTable,confirmed,"Four code pointers selected by BootMode_Dispatch"
0x80059b24,string,MainExecutablePath,confirmed,"ASCII cdrom:\\ROCK_NEO.EXE;1"
0x80059c50,data,g_BootMode,strong,"Byte indexes BootMode_HandlerTable; valid observed indices 0..3"
0x80059c51,data,g_BootMode3Phase,strong,"Byte switched by BootMode3_Update; phase 2 launches main executable"
